Urgency,document_length,Doc_ID
0,39,1
0,50,2
0,50,3
0,43,4
0,42,5
0,42,6
1,14,7
0,30,8
1,54,9
0,19,10
0,76,11
0,55,12
0,44,13
0,28,14
0,34,15
0,31,16
0,35,17
0,29,18
3,23,19
0,14,20
0,21,21
0,21,22
0,67,23
1,24,24
3,53,25
2,33,26
0,30,27
0,61,28
0,51,29
0,31,30
0,39,31
0,35,32
0,79,33
2,31,34
1,29,35
0,87,36
0,19,37
1,36,38
0,49,39
0,25,40
1,89,41
0,26,42
0,118,43
0,41,44
0,26,45
0,64,46
0,25,47
0,18,48
0,6,49
0,56,50
0,67,51
0,15,52
0,22,53
0,51,54
0,51,55
0,24,56
0,34,57
0,115,58
0,38,59
0,34,60
0,15,61
0,14,62
0,37,63
0,79,64
0,13,65
0,13,66
0,39,67
0,62,68
0,23,69
0,24,70
0,21,71
0,30,72
0,59,73
0,1,74
1,65,75
0,26,76
0,31,77
0,34,78
1,64,79
0,30,80
0,48,81
0,34,82
1,81,83
0,35,84
0,15,85
1,26,86
0,34,87
0,24,88
0,44,89
0,14,90
0,55,91
0,26,92
0,35,93
1,19,94
0,14,95
0,39,96
0,64,97
1,19,98
0,92,99
1,27,100
0,46,101
0,50,102
0,36,103
0,30,104
0,41,105
0,72,106
0,53,107
0,53,108
0,66,109
0,46,110
0,74,111
0,139,112
0,49,113
1,40,114
0,25,115
0,37,116
0,94,117
0,46,118
0,52,119
0,41,120
0,26,121
0,31,122
0,41,123
0,39,124
0,47,125
0,50,126
0,29,127
0,40,128
0,33,129
0,37,130
0,31,131
0,35,132
1,43,133
0,52,134
0,44,135
0,60,136
0,39,137
0,47,138
0,43,139
0,51,140
1,29,141
0,30,142
0,33,143
0,70,144
0,29,145
1,37,146
0,147,147
0,38,148
0,7,149
0,25,150
1,28,151
0,10,152
0,53,153
0,101,154
0,46,155
0,6,156
0,42,157
1,16,158
0,42,159
0,40,160
1,80,161
0,16,162
0,22,163
0,39,164
0,7,165
0,41,166
0,27,167
1,55,168
1,108,169
0,46,170
0,31,171
0,51,172
0,47,173
0,79,174
0,52,175
0,46,176
1,82,177
0,40,178
0,68,179
0,38,180
0,16,181
1,19,182
0,45,183
0,23,184
0,71,185
0,31,186
0,124,187
1,37,188
0,55,189
0,49,190
0,7,191
0,50,192
1,29,193
0,29,194
0,53,195
0,32,196
0,34,197
0,30,198
0,49,199
0,29,200
0,50,201
0,11,202
0,49,203
1,61,204
0,25,205
0,4,206
1,29,207
1,37,208
0,32,209
1,56,210
1,32,211
0,55,212
0,26,213
0,91,214
0,62,215
0,50,216
1,46,217
0,104,218
0,16,219
0,13,220
1,29,221
0,32,222
0,29,223
0,45,224
0,39,225
0,71,226
0,50,227
0,79,228
0,32,229
0,41,230
2,36,231
0,20,232
0,60,233
1,32,234
0,20,235
0,84,236
0,39,237
0,48,238
1,59,239
0,34,240
0,24,241
0,49,242
0,8,243
0,82,244
0,69,245
0,66,246
0,37,247
0,45,248
0,106,249
0,32,250
1,20,251
2,38,252
0,59,253
0,23,254
1,33,255
0,71,256
0,26,257
0,19,258
0,66,259
0,27,260
0,24,261
0,44,262
0,22,263
0,40,264
1,40,265
0,23,266
0,34,267
0,4,268
0,104,269
0,18,270
0,43,271
0,68,272
0,55,273
0,72,274
0,37,275
0,45,276
1,33,277
0,27,278
1,152,279
0,34,280
0,51,281
0,76,282
0,31,283
4,25,284
0,37,285
0,45,286
0,12,287
0,1,288
0,55,289
0,30,290
0,25,291
0,8,292
0,51,293
0,39,294
0,67,295
0,22,296
0,33,297
0,36,298
0,34,299
0,28,300
1,32,301
0,2,302
0,36,303
0,41,304
0,23,305
3,17,306
0,50,307
0,50,308
0,32,309
0,42,310
0,63,311
